Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
3,24.7,62,0,124.9,3,193,MONDAY,X
15,-5.7,62,0,92.7,12,343,THURSDAY,X
0,-8,84,0,42.4,3,20,WEDNESDAY,X
146,19.2,79,0,391.3,14,289,SATURDAY,X
33,23.8,75,0,83.1,23,186,MONDAY,D
39,22.6,77,0,400.2,10,291,MONDAY,X
24,5.5,82,0,9.6,10,89,TUESDAY,X
15,-6.9,66,0,120.7,9,348,TUESDAY,X
46,4.6,89,0,9.6,6,89,TUESDAY,X
42,22.5,83,0,201.3,0,213,SUNDAY,N
24,21.1,57,0,26.4,5,152,TUESDAY,N
2,15.6,91,0,353.9,5,276,SUNDAY,X
7,17.6,71,0,47.8,1,155,FRIDAY,D
42,0.7,79,0,19.4,7,56,THURSDAY,X
29,11.9,66,0,12.8,7,115,SUNDAY,X
43,2.7,66,0,55.8,18,80,SUNDAY,X
44,19.5,70,0,134,22,197,FRIDAY,D
0,8.2,94,0,48.8,3,74,MONDAY,X
140,24.3,81,0,138.7,7,200,MONDAY,N
8,0.4,75,0,14.7,5,48,WEDNESDAY,X
2,3.8,95,8.4,67,11,84,THURSDAY,X
19,2.4,49,0,32.4,20,324,SATURDAY,X
117,13.8,44,0,27.7,17,314,WEDNESDAY,X
37,19.1,53,0,27.7,11,322,THURSDAY,X
54,18.6,74,0,400.2,21,292,TUESDAY,X
13,-14.2,61,0,34.5,9,11,MONDAY,X
21,1,42,0,30,12,96,TUESDAY,X
118,20.5,83,0,48,17,156,SATURDAY,D
10,22.7,84,0,318.4,2,261,SATURDAY,D
102,22,73,0,68.9,19,170,SATURDAY,N
21,0.2,79,0,43.2,17,24,SUNDAY,X
66,15.6,75,0,49.1,15,159,TUESDAY,X
20,24.5,77,0,59.1,23,166,TUESDAY,X
54,25.9,34,0,47.8,14,154,THURSDAY,D
0,2.5,68,0,135.1,3,364,THURSDAY,X
48,24,60,0,315.9,20,253,FRIDAY,X
28,24.5,61,0,201.3,1,219,SATURDAY,X
26,7.4,87,0,20.5,10,119,THURSDAY,D
3,19.6,97,0,80.9,4,175,THURSDAY,X
22,3.5,76,0,41.8,15,15,FRIDAY,X
1,-5,62,0,92.7,2,345,SATURDAY,X
1,25.4,63,0,241.6,3,232,FRIDAY,X
11,6.2,88,0,44.2,21,25,MONDAY,X
159,23.1,78,0,201.3,17,213,SUNDAY,N
17,1.6,69,0,44.4,21,27,WEDNESDAY,X
219,26.5,28,0,49.1,17,158,MONDAY,X
63,25.2,61,0,0,11,146,WEDNESDAY,X
0,-4.5,74,0,92.7,4,344,FRIDAY,X
7,17.7,39,0,0,3,143,SUNDAY,X
11,-1.2,86,0,27.6,11,61,TUESDAY,X
2,2.9,84,0,46,1,32,MONDAY,X
31,-7.8,52,0,6.8,18,41,WEDNESDAY,X
7,3,81,0,129.3,7,359,SATURDAY,X
205,22.4,55,0,134,19,198,SATURDAY,D
53,21.8,44,0,49.1,22,158,MONDAY,X
79,13.2,67,0,0,19,141,FRIDAY,X
135,27,80,0,138.7,7,203,THURSDAY,X
11,-0.9,87,0,27.6,10,61,TUESDAY,X
17,14.2,65,0,376.5,5,284,MONDAY,X
10,19.6,73,0,134,3,198,SATURDAY,D
6,6.1,64,0,14.7,0,50,FRIDAY,X
4,-11.7,43,0,6.8,0,44,SATURDAY,X
8,15.3,77,0,391.3,3,289,SATURDAY,X
37,24.1,90,0,303.1,11,243,TUESDAY,N
0,0,80,0,120.4,3,347,MONDAY,X
9,16.3,57,0,33.6,0,68,TUESDAY,X
25,5.8,71,0,38.9,17,330,FRIDAY,X
14,23.7,90,2.4,311.7,5,252,THURSDAY,X
221,17.9,69,0,83.1,18,180,TUESDAY,X
214,17.4,34,0,0,13,142,SATURDAY,X
46,25.3,77,0,232.6,14,229,TUESDAY,N
17,-3.7,74,0.6,92.8,17,345,SATURDAY,X
29,4.5,63,0,55.8,9,78,FRIDAY,X
19,-2.3,64,0,135.1,8,365,FRIDAY,X
0,-15.4,64,0,34.5,2,11,MONDAY,X
64,24.2,48,0,353.9,21,279,WEDNESDAY,X
49,2.5,77,0,5.4,16,85,FRIDAY,X
8,1.3,50,0,32.4,22,324,SATURDAY,X
6,-14,47,0,6.8,7,44,SATURDAY,X
20,11.5,44,0,55.8,21,76,WEDNESDAY,X
4,21.7,94,0,124.9,2,190,FRIDAY,X
182,21.4,68,0,305.6,17,246,FRIDAY,D
5,20.4,53,0,316.8,4,256,MONDAY,X
28,26.5,70,0,315.6,23,252,THURSDAY,X
174,29.3,40,0,133.9,19,196,THURSDAY,X
10,7.6,85,0,49,23,74,MONDAY,X
5,-11.2,42,0,6.8,23,43,FRIDAY,X
34,17.3,53,0,33.6,21,67,MONDAY,X
4,21.1,85,0,20.8,4,147,THURSDAY,X
25,5.9,70,0,38.9,11,330,FRIDAY,X
47,19.5,53,0,376.5,21,284,MONDAY,X
143,33.3,34,0,69.8,19,172,MONDAY,N
111,12.2,80,0,17.4,14,304,SUNDAY,X
109,12.5,80,0,17.4,13,304,SUNDAY,X
89,26.6,48,0,353.9,16,279,WEDNESDAY,X
75,28.8,60,0,138.7,14,202,WEDNESDAY,D
23,3.4,60,0,55.8,6,78,FRIDAY,X
4,3.7,93,0,4.6,0,34,WEDNESDAY,X
27,18.6,39,0,0,7,143,SUNDAY,X
15,2.3,58,0,135.1,19,364,THURSDAY,X
14,23.9,60,0,305.6,3,249,MONDAY,X
2,-1.7,69,0,6.3,2,2,SATURDAY,X
37,3.2,71,0,33.6,9,66,SUNDAY,X
70,20.4,90,0,328.4,14,267,FRIDAY,D
6,8.1,84,0,3.5,2,107,SATURDAY,D
95,20.3,70,0,305.6,9,247,SATURDAY,D
26,4.5,72,0,55.8,12,78,FRIDAY,X
3,23,64,0,138.7,2,201,TUESDAY,N
32,8.5,79,0,20.6,10,121,SATURDAY,X
16,22.7,58,0,47.8,0,154,THURSDAY,D
11,9.4,85,0,0.4,12,97,WEDNESDAY,X
15,20.3,81,0,48,2,157,SUNDAY,D
0,11.8,63,0,402.4,1,299,TUESDAY,X
11,1.7,59,0,135.1,21,364,THURSDAY,X
1,3.7,55,0,55.8,3,81,MONDAY,X
2,21.6,78,0,316.5,4,254,SATURDAY,X
73,9.6,75,0,70.7,8,334,TUESDAY,X
3,1.8,89,3,118.2,21,346,SUNDAY,X
2,16.9,87,0.6,346.2,3,274,FRIDAY,X
47,25.4,65,0,225.2,0,227,SUNDAY,N
5,11,54,0,376.5,3,282,SATURDAY,X
81,23.9,93,0,297.5,21,242,MONDAY,N
45,27,72,0,308.4,22,251,WEDNESDAY,X
25,23.1,67,0,305.6,7,249,MONDAY,X
12,6.6,92,0,9.3,13,8,FRIDAY,X
7,5.8,89,1.2,7.4,10,8,FRIDAY,X
1,-3.4,90,0.6,38.3,22,11,MONDAY,X
19,24.8,67,0,225.2,2,227,SUNDAY,N
124,15.4,62,0,376.5,16,283,SUNDAY,X
3,3.7,60,0,32.1,4,324,SATURDAY,X
44,21.5,78,0,48,21,156,SATURDAY,D
30,11.9,66,0,70.7,11,334,TUESDAY,X
1,19.7,80,0,48.4,4,157,SUNDAY,D
2,-13.8,64,0,34.5,23,10,SUNDAY,X
11,5,95,0,55.9,21,83,WEDNESDAY,X
157,13.6,69,0,0,18,143,SUNDAY,X
31,4.2,69,0,70.7,20,335,WEDNESDAY,X
86,4.3,90,0,55.8,7,83,WEDNESDAY,X
4,11,57,0,3.5,1,106,FRIDAY,D
7,-9.4,39,0,127.5,13,354,MONDAY,X
21,21.2,69,0,377.4,11,286,WEDNESDAY,X
64,18.4,78,0,353.9,10,278,TUESDAY,X
26,13.2,53,0,3.5,23,107,SATURDAY,D
3,-1.1,80,0,97.3,7,346,SUNDAY,X
29,24.9,65,0,83.1,5,179,MONDAY,X
144,14.7,80,0,49.1,19,159,TUESDAY,X
39,1.8,54,0,19.4,18,57,FRIDAY,X
7,-3.9,77,0,120.7,5,348,TUESDAY,X
19,15.1,93,0.6,17.9,12,307,WEDNESDAY,X
90,14.8,55,0,5.4,13,87,SUNDAY,X
67,19.9,79,0,59,9,166,TUESDAY,X
123,16.3,80,0,12.7,18,112,THURSDAY,X
2,-3.8,78,0.6,93.7,19,345,SATURDAY,X
93,10.7,55,0,23.5,14,128,SATURDAY,D
111,13.9,35,0,14.7,12,51,SATURDAY,X
51,8.7,81,0,22.2,15,126,THURSDAY,N
215,13.5,73,0,0,15,143,SUNDAY,X
88,31.6,58,0,201.4,11,224,THURSDAY,N
114,17.6,51,0,27.7,7,323,FRIDAY,X
28,26.7,70,0,194.5,23,206,SUNDAY,X
23,2.9,62,0,30,15,96,TUESDAY,X
224,21.9,56,0,83.1,17,181,WEDNESDAY,X
4,10,66,0,3.5,6,107,SATURDAY,D
30,15.9,80,0,47.8,5,155,FRIDAY,D
8,-1.1,52,0,32.4,2,325,SUNDAY,X
4,4.2,46,0,3.5,4,103,TUESDAY,X
11,3.7,64,0,43.2,11,25,MONDAY,X
13,-0.6,50,0,32.4,1,325,SUNDAY,X
2,10.5,46,0,55.8,0,77,THURSDAY,X
0,17.7,84,0,353.9,2,278,TUESDAY,X
10,19.6,92,9,324.9,9,265,WEDNESDAY,N
35,7.7,88,0,38.7,17,328,WEDNESDAY,X
111,8.2,64,0,3.5,17,105,THURSDAY,N
30,2,85,0,14.7,16,52,SUNDAY,X
231,22.6,56,0,48.4,12,157,SUNDAY,D
79,18.2,75,0,13.2,22,302,FRIDAY,X
12,4.8,81,0,38.9,7,329,THURSDAY,X
0,7.2,86,0,14.1,2,118,WEDNESDAY,X
1,4.5,85,0,34.8,2,71,FRIDAY,X
192,21.4,66,0,317,17,258,WEDNESDAY,X
1,0.9,39,0,29.4,4,94,SUNDAY,X
24,2.2,83,0,41.8,19,15,FRIDAY,X
13,22.1,61,0,133.9,4,197,FRIDAY,D
179,24.3,68,0,328.4,13,269,SUNDAY,N
